식품이름,총내용량,열량(kcal),탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방(g)
멸치주먹밥,150,312.0,54.3,9.0,6.6,0.9,496.21,42.45,1.1,0.0
묵밥,950,642.16,128.6,14.8,7.7,15.1,2075.5,42.65,1.5,0.0
문어초밥,250,392.23,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0.0
숯불갈비 삼각김밥,100,161.24,32.55,4.0,1.67,0.17,358.36,4.04,0.53,0.02
오곡밥,250,388.82,82.32,11.95,1.3,0.17,113.9,0.0,0.42,0.0
참치마요네즈 삼각김밥,100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
한치초밥,250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06,0.45,0.0
머위나물볶음,150,108.0,7.6,3.5,7.0,1.8,718.63,0.0,0.8,0.0
멸치풋고추볶음,20,52.38,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
양송이버섯볶음,150,136.0,11.0,4.5,8.3,1.2,515.17,0.0,1.4,0.0
표고버섯볶음,150,142.0,15.8,4.5,6.7,2.6,574.8,0.0,0.8,0.0
곰보빵,70,277.34,42.16,6.31,9.27,11.73,202.25,23.59,4.63,0.21
만주,70,222.49,46.8,5.13,1.64,22.45,118.19,15.67,0.91,0.04
버터크림빵,60,229.96,27.74,4.91,11.04,7.19,191.18,17.81,8.44,0.28
찹쌀도우넛,70,207.05,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04
채소고로케,100,300.65,31.19,7.13,16.38,3.37,403.33,41.9,3.59,0.15
초콜릿케이크,100,420.24,43.6,5.32,24.96,23.13,170.0,50.84,14.4,0.38
치즈케이크,100,329.15,28.64,7.23,20.63,15.28,200.67,126.78,10.99,0.61
페이스트리빵,70,319.59,32.52,5.99,18.4,5.75,295.79,16.95,12.07,0.59
식혜,150,130.14,24.32,2.3,2.63,17.04,3.38,0.0,0.07,0.0
간장마늘쫑장아찌,50,30.0,5.4,1.0,0.5,3.9,813.64,0.0,0.0,0.0
고추장마늘쫑장아찌,50,55.0,10.5,1.3,0.9,5.6,707.34,0.0,0.1,0.0
매실장아찌,30,72.88,17.43,0.5,0.13,11.45,337.86,0.0,0.02,0.0
무장아찌,30,23.92,5.03,0.44,0.23,2.89,879.81,0.04,0.01,0.0
낙지꼬지,80,75.35,2.83,13.14,1.28,0.0,207.07,133.75,0.14,0.01
돔베기적,100,159.49,0.0,30.08,7.42,0.0,451.25,64.23,0.6,0.03
소라산적,80,120.1,6.45,17.92,2.51,0.85,396.68,100.34,0.38,0.02
오징어산적,80,101.71,3.6,17.38,1.98,0.92,477.11,234.25,0.28,0.0
홍어적,100,89.15,0.0,23.59,0.66,0.28,323.53,96.77,0.12,0.0
홍합산적,80,156.67,10.58,17.78,4.8,3.34,719.72,60.72,0.83,0.04
굴전,100,195.0,14.5,10.6,10.5,1.3,325.7,96.88,2.1,0.1
녹두빈대떡,100,207.94,20.93,7.95,10.27,0.1,232.05,12.48,2.26,0.06
야채전,100,194.0,21.6,5.4,9.5,2.4,321.52,43.15,2.1,0.1
햄부침,100,244.0,11.3,11.3,17.1,1.0,715.66,72.11,4.4,0.1
호박부침개,100,129.0,10.1,3.9,8.1,3.6,174.33,52.48,1.7,0.1
고추조림,100,111.0,13.4,3.3,4.9,7.1,779.1,7.09,0.7,0.0
돼지고기메추리알장조림,50,63.49,3.37,8.34,1.85,1.27,582.99,47.64,0.44,0.01
북어조림,100,181.86,17.14,20.83,3.33,8.2,765.95,99.63,0.67,0.05
소고기메추리알장조림,50,60.65,2.88,8.14,1.84,0.72,602.12,41.52,0.45,0.02
백합죽,700,455.28,84.7,16.5,5.6,0.0,996.8,32.1,1.3,0.0
어죽,800,552.06,100.8,20.4,7.5,9.8,2105.53,35.47,1.7,0.0
두부전골,500,315.16,17.1,25.6,16.1,3.5,1650.77,8.85,2.4,0.0
새우젓두부찌개,300,166.0,7.2,16.2,8.1,1.7,1123.08,10.71,1.6,0.0
호박찌개,300,95.0,12.2,5.6,2.6,5.8,1024.11,9.26,0.4,0.0
대구찜,500,376.42,24.7,51.7,7.9,5.7,1898.67,263.32,1.1,0.0
도미찜,100,125.51,0.54,23.0,3.49,0.0,839.96,99.01,0.91,0.02
문어숙회,80,66.91,0.73,14.86,0.51,0.0,208.33,140.11,0.12,0.0
민어찜,100,136.88,0.0,21.47,5.91,0.0,1089.44,97.77,1.67,0.04
병어찜,100,179.69,0.16,18.86,11.52,0.0,650.98,71.92,3.59,0.06
아구찜,750,492.32,43.1,65.4,6.5,8.2,3425.72,420.21,1.1,0.0
전어찜,100,278.22,0.6,17.28,22.97,0.0,447.4,97.88,6.8,0.13
조기찜,100,182.12,1.64,20.06,10.59,0.0,602.03,138.43,2.85,0.08
참꼬막,80,90.79,4.59,12.47,2.5,0.0,234.16,65.03,0.38,0.02
해물찜,500,400.08,35.4,42.6,9.8,5.5,2137.21,419.16,1.5,0.0
낙지탕,600,187.8,10.4,29.4,3.2,1.9,1704.69,292.42,0.4,0.0
복지리탕,600,232.05,10.3,41.7,2.7,1.4,1349.98,209.78,0.4,0.0
아구탕,600,246.07,12.8,37.8,4.9,1.8,1863.34,318.93,0.8,0.0
전복탕,600,196.85,15.8,26.8,3.0,1.3,1774.4,291.38,0.6,0.0
짱뚱어탕,600,188.77,16.6,11.5,8.5,2.4,2050.9,22.22,0.9,0.0
추어탕,1000,316.72,26.8,22.7,13.2,0.0,2635.78,90.31,1.9,0.0
해물탕,600,267.81,16.6,39.8,4.7,0.8,2046.24,469.49,0.8,0.0
고구마맛탕,200,491.0,94.6,3.3,11.0,38.7,76.93,0.0,1.9,0.0
고구마튀김,100,252.96,33.8,2.72,11.87,7.72,148.41,20.84,1.74,0.05
고추튀김,100,202.0,14.6,7.6,12.6,2.3,249.15,35.91,2.7,0.1
미꾸라지튀김,100,387.49,28.86,10.89,25.39,0.3,324.47,50.15,3.89,0.15
쥐포튀김,100,356.91,42.5,9.62,16.49,7.96,717.03,28.7,2.29,0.1
대구포,100,140.84,2.34,31.97,0.4,0.0,3875.95,107.15,0.17,0.0
북어포,20,66.46,0.32,15.42,0.39,0.22,128.99,85.03,0.13,0.0
매작과,30,123.86,19.83,2.25,3.95,4.93,29.83,10.03,0.7,0.03
산자,30,109.71,24.65,0.69,0.93,9.4,6.86,0.0,0.03,0.0
송화다식,30,110.83,22.19,2.49,1.35,8.0,4.04,0.0,0.27,0.0
약과,30,119.73,25.47,1.26,1.43,5.07,17.19,0.0,0.37,0.01
유과,30,127.09,22.27,0.84,3.85,7.24,6.84,0.0,0.41,0.01
