식품이름,총내용량,열량(kcal),탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방(g)
전어찜,100,278.22,0.6,17.28,22.97,0.0,447.4,97.88,6.8,0.13
조기찜,100,182.12,1.64,20.06,10.59,0.0,602.03,138.43,2.85,0.08
참꼬막,80,90.79,4.59,12.47,2.5,0.0,234.16,65.03,0.38,0.02
고구마튀김,100,252.96,33.8,2.72,11.87,7.72,148.41,20.84,1.74,0.05
고추튀김,100,202.0,14.6,7.6,12.6,2.3,249.15,35.91,2.7,0.1
미꾸라지튀김,100,387.49,28.86,10.89,25.39,0.3,324.47,50.15,3.89,0.15
쥐포튀김,100,356.91,42.5,9.62,16.49,7.96,717.03,28.7,2.29,0.1
대구포,100,140.84,2.34,31.97,0.4,0.0,3875.95,107.15,0.17,0.0
북어포,20,66.46,0.32,15.42,0.39,0.22,128.99,85.03,0.13,0.0
매작과,30,123.86,19.83,2.25,3.95,4.93,29.83,10.03,0.7,0.03
산자,30,109.71,24.65,0.69,0.93,9.4,6.86,0.0,0.03,0.0
송화다식,30,110.83,22.19,2.49,1.35,8.0,4.04,0.0,0.27,0.0
약과,30,119.73,25.47,1.26,1.43,5.07,17.19,0.0,0.37,0.01
유과,30,127.09,22.27,0.84,3.85,7.24,6.84,0.0,0.41,0.01
